Level,Status,Mode,Gender,Licence,Work,Car_Avail,Family,Cars,Children,Adults,Income,Time.Auto,Time.Transit,Time.Active
Grad,FT,Transit,Female,0,Other,0,Family,2,0,5,Unknown,57.6342,118.236507,376.74375
UG,PT,Active,Female,1,Other,0,Other,0,0,2,Low,2.523888,24.493026999999998,28.469009999999997
UG,FT,Transit,Female,0,Other,0,Family,1,0,6,Unknown,19.19235,51.81050000000001,120.050385
UG,PT,Active,Male,1,Other,0,Family,0,2,3,Low,11.27827,44.993718,74.18136
Grad,FT,Active,Female,0,Other,0,Roommates,0,0,4,Low,1.117177,20.195869,11.101709999999999
Grad,FT,Active,Female,1,Other,0,Roommates,0,0,3,Unknown,11.34923,39.849031,65.27565
UG,FT,Active,Female,1,Other,1,Roommates,0,0,3,High,2.776623,26.813798,23.593725
UG,FT,Transit,Female,0,Other,0,Family,2,0,3,High,6.472022,36.362017,69.71035499999999
UG,FT,Transit,Female,0,Other,0,Family,2,0,3,Unknown,0.0,0.0,0.0
Other,Other,Active,Female,1,Other,1,Roommates,1,0,4,Unknown,2.523888,24.493026999999998,28.469009999999997
Grad,FT,Transit,Female,1,Other,1,Other,1,0,2,Unknown,89.91993000000001,113.40996000000001,792.99075
Grad,FT,Transit,Female,1,FT,0,Other,1,2,2,High,50.17188,155.55116999999998,349.78845
UG,FT,Transit,Male,0,Other,0,Family,0,0,4,Unknown,37.882329999999996,107.074827,410.07360000000006
Grad,FT,Transit,Female,1,PT,1,Roommates,0,0,4,Unknown,13.00131,35.417331,71.57238000000001
UG,FT,Auto,Female,1,Other,0,Family,2,0,4,Low,33.10413,104.383208,285.35805
Grad,FT,Transit,Male,1,Other,0,Family,2,0,4,High,42.1131,118.39803300000001,281.15745000000004
UG,FT,Transit,Female,0,Other,0,Other,0,0,2,Unknown,9.349833,37.81105,52.358880000000006
UG,FT,Auto,Male,1,Other,0,Family,2,2,4,Unknown,5.793533999999999,26.869722000000003,74.87325
UG,FT,Transit,Male,1,Other,1,Family,1,0,3,Unknown,29.582459999999998,62.974813,181.27155000000002
UG,FT,Transit,Female,1,Other,1,Family,1,0,4,Low,14.00681,58.21812900000001,93.22105499999999
UG,PT,Transit,Male,0,Other,0,Family,1,0,3,Unknown,37.73697,90.440035,243.79395000000002
UG,FT,Transit,Female,1,Other,1,Family,2,1,3,Unknown,98.40382,191.70077,811.3719
UG,FT,Transit,Other,0,Other,0,Other,0,0,3,Unknown,28.61972,65.781362,174.55365
UG,FT,Transit,Male,0,Other,0,Family,0,1,3,Low,27.338929999999998,112.92883,252.7752
UG,FT,Active,Male,0,Other,0,Other,0,0,1,Low,0.0,0.0,0.0
Grad,FT,Transit,Female,0,FT,0,Other,2,0,4,Unknown,69.71825,114.92243,529.3862999999999
UG,FT,Transit,Female,0,Other,0,Roommates,0,0,2,Low,9.218005,45.254911,150.7788
Grad,FT,Transit,Male,1,Other,0,Other,1,0,4,Unknown,73.77691999999999,167.70800999999997,454.281
Grad,FT,Transit,Female,0,Other,0,Family,1,0,4,Unknown,51.47854,104.64487,388.7920500000001
Grad,PT,Active,Female,1,Other,1,Other,0,0,1,Low,4.289724,29.3483,30.6678
UG,FT,Transit,Female,0,Other,0,Family,1,1,5,Unknown,31.237240000000003,50.903516,187.5885
UG,FT,Transit,Female,0,Other,0,Family,1,0,2,Unknown,26.49993,81.48457900000001,325.0632
UG,PT,Auto,Male,1,Other,0,Other,2,0,2,High,92.35351999999999,136.91228999999998,708.0385500000001
UG,FT,Active,Female,0,Other,0,Roommates,2,0,6,Low,2.649222,20.927781,23.086634999999998
Grad,FT,Active,Female,1,Other,1,Other,0,0,1,Unknown,5.576192,29.470396,31.67763
Grad,FT,Transit,Male,1,Other,0,Family,2,0,4,High,78.49124,190.57783500000002,489.24735000000004
UG,FT,Transit,Female,1,Other,0,Roommates,1,0,2,Unknown,32.571740000000005,69.622366,212.3673
UG,FT,Transit,Female,0,Other,0,Family,2,0,3,Unknown,2.1605119999999998,11.333393,22.923180000000006
